group,english,turkish,notes,notes_tr
Models and architecture,layer normalization,katman normalizasyonu,rescales one token's own features; not computed across the batch,tek bir token'ın kendi özniteliklerini yeniden ölçekler; batch genelinde hesaplanmaz
Models and architecture,mixture of experts (MoE),uzman karışımı ◆,*MoE* dominant; memory follows total parameters and latency follows active ones,"*MoE* baskın; bellek toplam parametreleri, gecikme etkin olanları izler"
Models and architecture,multi-head attention,çok başlı dikkat,"several attention patterns computed in parallel; at a fixed total hidden size each head is narrower, so the cost is close to that of one wide head","paralel hesaplanan birkaç dikkat örüntüsü; toplam gizli boyut sabit tutulduğunda her baş daha dar olur, dolayısıyla maliyet tek bir geniş başınkine yakındır"
Models and architecture,open-weights model,açık ağırlıklı model,"weights downloadable; training data, code and licence are separate questions","ağırlıklar indirilebilir; eğitim verisi, kod ve lisans ayrı sorulardır"
Models and architecture,positional encoding,konumsal kodlama,"the position signal added to (or applied to) token embeddings, because attention alone is order-blind",token gömmelerine eklenen (ya da onlara uygulanan) konum sinyali; çünkü dikkat tek başına sıraya kör
Models and architecture,residual connection,artık bağlantı,*atlama bağlantısı* also seen; the shortcut that lets a sublayer learn a correction rather than a replacement,*atlama bağlantısı* da görülür; bir alt katmanın bir yenisini değil bir düzeltmeyi öğrenmesini sağlayan kestirme
Models and architecture,self-attention,öz-dikkat,,
Models and architecture,transformer,dönüştürücü ◆,usually left as *Transformer*,genellikle *Transformer* olarak bırakılır
Multimodal,contrastive pretraining,karşıtsal ön-eğitim,training image and text encoders so matching pairs land close and mismatched pairs land apart; the captions are the supervision,"eşleşen çiftler yakın, eşleşmeyenler uzak düşsün diye görüntü ve metin kodlayıcılarını eğitmek; denetimi altyazılar sağlıyor"
Multimodal,optical character recognition (OCR),optik karakter tanıma,"turning an image of text into text; a dedicated engine tends to fail visibly and a VLM fluently, which is a difference of degree since OCR engines use language models too","bir metin görüntüsünü metne çevirmek; özel bir motor görünür biçimde, bir VLM akıcı biçimde arızalanma eğiliminde — OCR motorları da dil modeli kullandığı için bu bir derece farkı"
Multimodal,patch embedding,yama gömmesi,"an image cut into fixed squares, each projected to the model's hidden size, so a picture becomes a sequence a transformer can read",sabit karelere bölünmüş ve her biri modelin hidden size'ına (içeride kullandığı vektör boyutuna) izdüşürülmüş bir görüntü; böylece bir resim bir transformer'ın okuyabileceği bir diziye dönüşüyor
Multimodal,vision-language model (VLM),görme-dil modeli,"a language model with a vision encoder attached, so images and text share one sequence; reads pages, charts and photographs","görme kodlayıcısı iliştirilmiş bir dil modeli; böylece görüntüler ve metin tek bir diziyi paylaşıyor; sayfaları, grafikleri ve fotoğrafları okuyor"
Prompting and generation,chain-of-thought,düşünce zinciri,,
Prompting and generation,chat template,sohbet şablonu,the special tokens that mark who is speaking; fine-tuning with the wrong one trains a format the server will never send,"kimin konuştuğunu işaretleyen özel token'lar; yanlışıyla ince ayar yapmak, sunucunun asla göndermeyeceği bir biçimi eğitiyor"
Prompting and generation,faithfulness (of reasoning),akıl yürütme sadakati,how well a model's stated reasoning matches the process that actually produced its answer; separate from whether either is correct,"bir modelin dile getirdiği akıl yürütmenin, cevabını gerçekte üreten süreçle ne kadar örtüştüğü; ikisinden birinin doğru olup olmamasından ayrı"
Prompting and generation,hallucination,halüsinasyon / uydurma,,
Prompting and generation,in-context learning,bağlam içi öğrenme,learning a task from examples placed in the prompt; no weight is updated and nothing survives the call,prompt'a konulmuş örneklerden bir görevi öğrenmek; hiçbir ağırlık güncellenmiyor ve çağrı bitince hiçbir şey kalmıyor
Prompting and generation,instruction tuning,yönerge ile ince ayar,*talimat ayarı* also seen; fine-tuning on instruction-and-answer pairs so the model answers requests instead of continuing them,*talimat ayarı* da görülür; model istekleri sürdürmek yerine cevaplasın diye yönerge-cevap çiftlerinde ince ayar
Prompting and generation,prompt,istem ◆,*prompt* dominant in practice,pratikte *prompt* baskın
Prompting and generation,temperature,sıcaklık,,
Prompting and generation,thinking budget,düşünme bütçesi,"a cap on tokens spent inside the reasoning block; hitting it does not cancel the request, it forces an answer out of an unfinished trace","akıl yürütme bloğunun içinde harcanan token'lara bir tavan; ona çarpmak isteği iptal etmiyor, bitmemiş bir izden bir cevap çıkmaya zorluyor"
Prompting and generation,verbalised confidence,sözel güven,a 0-100 number the model writes out as text rather than a probability read off its scores; it can be right on average and still separate nothing,"modelin puanlarından okunan bir olasılık değil, metin olarak yazdığı 0-100 arası bir sayı; ortalamada doğru olup yine hiçbir şeyi ayırmayabilir"
Prompting and generation,zero-shot classification,sıfır atışlı sınıflandırma,"labelling from an instruction alone, with no examples; a plain completion returns a word rather than a score, so there is no threshold to move unless you also read logprobs or ask for one","yalnızca bir yönergeden, örneksiz etiketleme; düz bir tamamlama puan değil kelime döndürür, dolayısıyla logprob okumadıkça ya da puan istemedikçe kaydırılacak bir eşik yoktur"
Prompting practice,demonstration,örnek gösterim,an input-output pair placed in the prompt; the unit few-shot prompting is built from,prompt'a konulmuş bir girdi-çıktı çifti; birkaç örnekli promptlamanın kurulduğu birim
Prompting practice,few-shot,az örnekli,putting a handful of labelled examples in the prompt; *zero-shot* is the no-example case,prompt'a bir avuç etiketli örnek koymak; *zero-shot* örneksiz durum
Prompting practice,format sensitivity,biçim duyarlılığı,the score changing when the prompt's layout changes but its meaning does not; the reason a single-prompt model comparison is unreliable,prompt'un anlamı değişmediği hâlde düzeni değiştiğinde puanın değişmesi; tek prompt'lu bir model karşılaştırmasının neden güvenilmez olduğu
Prompting practice,prompt template,istem şablonu,"the fixed scaffolding a prompt is built from, with slots for the input; the thing to version, not the assembled string","bir prompt'un kurulduğu, girdi için yuvaları olan sabit iskele; sürümlenecek şey birleştirilmiş dizge değil, budur"
RAG,chunk,parça,"the unit you index and retrieve; a modelling decision rather than a preprocessing detail, because it sets what can be retrieved at all","dizinlediğiniz ve eriştiğiniz birim; bir ön işleme ayrıntısı değil bir modelleme kararı, çünkü neyin erişilebileceğini o belirliyor"
RAG,grounding,dayandırma,answering from the retrieved text rather than from the model's own memory; separate from whether the retrieval was right,"modelin kendi belleğinden değil, erişilmiş metinden cevaplamak; erişimin doğru olup olmamasından ayrı"
RAG,lost in the middle,ortada kaybolmak,"a model using the beginning and end of a long context better than its middle, so more context is not automatically more information",bir modelin uzun bir bağlamın başını ve sonunu ortasından daha iyi kullanması; dolayısıyla daha fazla bağlam otomatik olarak daha fazla bilgi değil
Representing text as vectors,analogy (task),analoji (görevi),"*king − man + woman*; the arithmetic, not reasoning","*king − man + woman*; akıl yürütme değil, aritmetik"
Representing text as vectors,anisotropy,anizotropi,"vectors share one dominant direction instead of spreading evenly; mean cosine ≠ 0",vektörler her yöne eşit dağılmak yerine ortak bir yöne kayıyor; ortalama kosinüs ≠ 0
Representing text as vectors,bag-of-words,kelime torbası,fully naturalized; no ◆,tümüyle yerleşmiş; ◆ yok
Representing text as vectors,character n-gram,karakter n-gram'ı,fastText's unit; cf. *subword*,fastText'in birimi; krş. *subword*
Representing text as vectors,co-occurrence matrix,eş-oluşum matrisi,*eş-oluşum* preferred over *birlikte geçme*,*birlikte geçme* yerine *eş-oluşum* tercih edilir
Representing text as vectors,cosine similarity,kosinüs benzerliği,,
Representing text as vectors,distributional hypothesis,dağılımsal hipotez,"Harris 1954, Firth 1957","Harris 1954, Firth 1957"
Representing text as vectors,doc2vec / word2vec / GloVe / fastText,doc2vec / word2vec / GloVe / fastText ◆,"model names, never translated","model adları, hiç çevrilmez"
Representing text as vectors,document frequency (df),belge frekansı,,
Representing text as vectors,document-term matrix,belge-terim matrisi,"rows = documents, columns = terms","satırlar = belgeler, sütunlar = terimler"
Representing text as vectors,dot product,iç çarpım,not *nokta çarpım*; the linear predictor in word2vec,*nokta çarpım* değil; word2vec'teki doğrusal öngörücü
Representing text as vectors,embedding,embedding / gömme ◆,*embedding* dominant; *word embedding* → kelime gömmesi when Turkish is used,*embedding* baskın; Türkçe kullanıldığında *word embedding* → kelime gömmesi
Representing text as vectors,inverse document frequency (IDF),ters belge frekansı ◆,*IDF* dominant in running text,akan metinde *IDF* baskın
Representing text as vectors,L2 normalization,L2 normalleştirme,puts documents on the unit sphere,belgeleri birim küreye yerleştirir
Representing text as vectors,latent semantic analysis (LSA),örtük anlamsal analiz ◆,*LSA* dominant; PPMI/SVD on counts,*LSA* baskın; sayımlar üzerinde PPMI/SVD
Representing text as vectors,MinHash,MinHash ◆,a fixed-size sketch of a set whose collisions estimate Jaccard similarity; the basis of near-duplicate detection at scale,bir kümenin sabit boyutlu bir taslağı; çakışmaları Jaccard benzerliğini kestiriyor; ölçekte yakın-yineleme saptamasının temeli
Representing text as vectors,nearest neighbour,en yakın komşu,*komşu listesi* = neighbour list,*komşu listesi* = neighbour list
Representing text as vectors,negative sampling,negatif örnekleme,"replaces the softmax with binary real-or-fabricated decisions on sampled pairs; the per-example arithmetic is a logistic regression, but the score is bilinear in two learned vectors and the joint objective is non-convex","softmax'i, örneklenmiş çiftler üzerinde ikili gerçek-mi-uydurma-mı kararlarıyla değiştiriyor; örnek başına aritmetik bir lojistik regresyon, ama skor öğrenilen iki vektörde çift doğrusal ve ortak amaç dışbükey değil"
Representing text as vectors,one-hot encoding,one-hot kodlama ◆,no settled Turkish gloss; *one-hot* takes suffixes,yerleşmiş bir Türkçe karşılığı yok; *one-hot* ek alır
Representing text as vectors,out-of-vocabulary (OOV),sözlük dışı ◆,*OOV oranı* = OOV rate,*OOV oranı* = OOV rate
Representing text as vectors,pointwise mutual information (PMI),noktasal karşılıklı bilgi ◆,*PPMI* = pozitif PMI,*PPMI* = pozitif PMI
Representing text as vectors,relatedness vs. similarity,ilişkililik / benzerlik,WordSim-353 vs. SimLex-999; do not conflate,WordSim-353'e karşı SimLex-999; birbirine karıştırmayın
Representing text as vectors,singular value decomposition (SVD),tekil değer ayrışımı ◆,*truncated SVD* → kesik SVD,*truncated SVD* → kesik SVD
Representing text as vectors,skip-gram / CBOW,skip-gram / CBOW ◆,take Turkish suffixes: *skip-gram'ın*,Türkçe ek alırlar: *skip-gram'ın*
Representing text as vectors,sparse matrix / sparsity,seyrek matris / seyreklik,,
Representing text as vectors,static vs. contextual embedding,statik / bağlamsal gömme,the axis chapter 3 ends on,3. bölümün üzerinde bittiği eksen
Representing text as vectors,subsampling,altörnekleme,word2vec's frequent-word thinning; not *alt örnekleme*,word2vec'in sık kelime seyreltmesi; *alt örnekleme* değil
Representing text as vectors,term frequency (tf),terim frekansı,,
Representing text as vectors,TF-IDF,TF-IDF ◆,never translated,hiç çevrilmez
Retrieval,bi-encoder,çift kodlayıcı,"query and document encoded separately, so documents can be indexed ahead of time; the reason dense retrieval scales","sorgu ve belge ayrı ayrı kodlanıyor, böylece belgeler önceden dizinlenebiliyor; yoğun erişimin ölçeklenmesinin nedeni"
Retrieval,BM25,BM25 ◆,the lexical ranking function every hybrid retriever still has one half of; never translated,her hybrid retriever'ın hâlâ yarısını taşıdığı sözcüksel sıralama işlevi; hiç çevrilmez
Retrieval,cross-encoder,çapraz kodlayıcı,"query and document read together in one forward pass; far more accurate and impossible to precompute, so it reranks rather than retrieves","sorgu ve belge tek bir ileri geçişte birlikte okunuyor; çok daha doğru ve önceden hesaplanması imkânsız, dolayısıyla erişmiyor yeniden sıralıyor"
Retrieval,hard negative,zor negatif,a wrong document that looks right; training on these rather than random ones is most of what makes a dense retriever work,"doğru görünen yanlış bir belge; rastgele olanlar yerine bunlar üzerinde eğitmek, dense bir retriever'ı çalıştıran şeyin çoğu"
Retrieval,recall@k,recall@k ◆,"the share of a query's relevant documents in the top k; with one relevant document per query it reduces to did it appear at all, also called hit rate. The ceiling on what downstream grounding can use","bir sorgunun ilgili belgelerinin ilk k içindeki payı; sorgu başına tek ilgili belge varken hiç göründü mü sorusuna iner, buna isabet oranı da denir. Aşağı akışta dayanaklandırmanın kullanabileceğinin tavanı"
Retrieval,reciprocal rank fusion (RRF),sıra tersine dayalı birleştirme (RRF) ◆,"combine ranked lists by summing 1/(k+rank); a variance-reduction trick for comparable systems, and a way to lose accuracy when they are not",sıralı listeleri 1/(k+sıra) toplayarak birleştirmek; karşılaştırılabilir sistemler için bir varyans azaltma hilesi ve değillerse doğruluk yitirmenin bir yolu
"Retrieval, agents, and tools",agent,ajan / etmen,,
"Retrieval, agents, and tools",chunking,parçalama,,
"Retrieval, agents, and tools",function calling,fonksiyon çağırma,,
"Retrieval, agents, and tools",reranking,yeniden sıralama,,
"Retrieval, agents, and tools",retrieval-augmented generation,erişim destekli üretim ◆,*RAG* dominant,*RAG* baskın
"Retrieval, agents, and tools",tool calling,araç çağırma,,
"Retrieval, agents, and tools",vector database,vektör veritabanı,,
Sequence labeling and extraction,BIO tagging,BIO etiketleme,"B marks a span's first token, I its continuation, O everything else; the scheme that turns spans into per-token labels","B bir bölütün ilk token'ını, I devamını, O geri kalan her şeyi işaretliyor; bölütleri token başına etiketlere çeviren şema"
Sequence labeling and extraction,conditional random field (CRF),conditional random field ◆,"scores a whole label sequence at once by adding a learned transition score for each adjacent label pair; models the labels given the words rather than their joint distribution, which is what lets its features overlap freely","bütün bir etiket dizisini tek seferde puanlıyor; komşu her etiket çifti için öğrenilmiş bir geçiş skoru ekliyor. kelimelerle etiketlerin ortak dağılımını değil, kelimeler verildiğinde etiketleri modelliyor; özniteliklerinin serbestçe örtüşebilmesinin sebebi bu"
Sequence labeling and extraction,entity linking,varlık bağlama,mapping a mention to a canonical id; distinct from recognising that the mention is an entity at all,bir anmayı standart bir kimliğe eşlemek; anmanın bir varlık olduğunu tanımaktan ayrı
Sequence labeling and extraction,gazetteer,varlık sözlüğü,"a memorised list of known entity strings; a strong, dumb baseline and a poor generaliser",bilinen varlık dizgelerinden ezberlenmiş bir liste; güçlü ama basit bir taban çizgisi ve kötü bir genelleyici
Sequence labeling and extraction,named entity recognition (NER),adlandırılmış varlık tanıma ◆,"*NER* dominant in practice; finding and typing mentions of people, organisations and places","pratikte *NER* baskın; kişi, kurum ve yer anmalarını bulmak ve türlendirmek"
Sequence labeling and extraction,nested entity,iç içe varlık,"a span inside another span; BIO cannot represent it, which is why span-based decoders exist","başka bir bölütün içindeki bir bölüt; BIO onu temsil edemiyor, bölüt tabanlı kod çözücülerin var olma nedeni bu"
Sequence labeling and extraction,relation extraction,ilişki çıkarımı,classifying the relation that holds between two already-identified mentions,zaten belirlenmiş iki anma arasındaki ilişkiyi sınıflandırmak
Sequence labeling and extraction,span-level F1,span düzeyinde F1,"a prediction counts only if type, start and end all match; the metric token accuracy hides","bir öngörü ancak tür, başlangıç ve bitişin üçü de eşleşirse sayılıyor; token doğruluğunun gizlediği metrik"
Sequence labeling and extraction,token classification,token sınıflandırma,"one label per token; the architecture NER, POS tagging and chunking all share","token başına bir etiket; NER, sözcük türü etiketleme ve öbekleme için ortak mimari"
Sequence labeling and extraction,Viterbi decoding,Viterbi kod çözme ◆,picks the highest-scoring whole label sequence rather than the best label at each position independently,her konumda en iyi etiketi bağımsız olarak seçmek yerine en yüksek puanlı tüm etiket dizisini seçiyor
Summarization and generation,abstractive summarization,soyutlayıcı özetleme,"the summary is generated, so it can use words the source never used -- and assert facts it never contained","özet üretiliyor, dolayısıyla kaynağın hiç kullanmadığı kelimeleri kullanabiliyor — ve hiç içermediği olguları öne sürebiliyor"
Summarization and generation,coverage / density,kapsam / yoğunluk,"how much of a summary is copied from its source, and in how long a stretch; characterises a corpus before any model sees it",bir özetin ne kadarının kaynağından kopyalandığı ve kopyalanan kesintisiz parçaların ne kadar uzun olduğu; bir derlemi hiçbir model görmeden önce betimliyor
Summarization and generation,extractive summarization,çıkarımsal özetleme,"the summary is a selection of source sentences, so it cannot invent wording and cannot compress below a sentence; it can still mislead by omitting the context that governs a selected sentence","özet, kaynak cümlelerinden bir seçki (burada ""çıkarım"" inference değil, extraction anlamında); dolayısıyla ifade uyduramıyor ve bir cümlenin altına sıkıştıramıyor — yine de seçilen cümleyi yöneten bağlamı dışarıda bırakarak yanıltabiliyor"
Summarization and generation,faithfulness (to source),kaynağa sadakat,"whether a summary asserts only what the source supports; separate from whether it reads well, invisible to n-gram overlap, and not the same thing as faithfulness of reasoning","bir özetin yalnızca kaynağın desteklediğini öne sürüp sürmediği; iyi okunup okunmadığından ayrı, n-gram örtüşmesine görünmez ve akıl yürütme sadakatiyle aynı şey değil"
Summarization and generation,lead-3,lead-3 ◆,the first three sentences as a summary; a baseline that beats trained models on some corpora and not others -- measure before assuming,"özet olarak ilk üç cümle; bazı derlemlerde eğitilmiş modelleri yenen, bazılarında yenmeyen bir taban çizgisi — varsaymadan önce ölçün"
Summarization and generation,LLM-as-judge,LLM'in hakemliği,"scoring generated text with another model; carries position, length and self-preference biases that must be measured, not assumed away","üretilmiş metni başka bir modelle puanlamak; varsayılarak geçiştirilmeyip ölçülmesi gereken konum, uzunluk ve kendini kayırma yanlılıkları taşıyor"
Summarization and generation,ROUGE,ROUGE ◆,"n-gram overlap against a reference summary; rewards copying, blind to faithfulness, and dependent on a tokenizer that mangles Turkish","bir referans özete karşı n-gram örtüşmesi; kopyalamayı ödüllendiriyor, sadakate kör ve Türkçeyi bozan bir tokenlaştırıcıya bağımlı"
"Text, tokens, and morphology",agglutinative,eklemeli,Turkish stacks suffixes on a stem; why tokenizers fragment it,Türkçe bir gövdenin üstüne ek yığar; tokenlaştırıcıların onu parçalamasının nedeni
"Text, tokens, and morphology",byte-pair encoding (BPE),byte-pair encoding ◆,never translated; *BPE* in running text,hiç çevrilmez; akan metinde *BPE*
"Text, tokens, and morphology",Common Crawl,Common Crawl ◆,"proper noun, never translated; the monthly web crawl most corpora start from","özel ad, hiç çevrilmez; çoğu derlemin başladığı aylık web taraması"
"Text, tokens, and morphology",corpus,derlem,plural *derlemler*,çoğulu *derlemler*
"Text, tokens, and morphology",fertility,fertility ◆,"of a tokenizer: tokens per word. Used to compare tokenizers on the same text, or languages under one tokenizer on matched content — and it is not the bill: languages differ in words per sentence too",bir tokenizer'ın özelliği: kelime başına token. Aynı metin üzerinde tokenizer'ları ya da tek bir tokenizer altında eşlenmiş içerikte dilleri karşılaştırmak için kullanılır — ve fatura demek değil: diller cümle başına kelime sayısında da ayrışır. *Doğurganlık* denmiyor
"Text, tokens, and morphology",hapax legomena,hapax legomena ◆,"Latin, kept as-is; words occurring exactly once","Latince, olduğu gibi bırakılır; tam olarak bir kez geçen kelimeler"
"Text, tokens, and morphology",lemmatization,kök bulma,see *stemming* — the pair is easy to swap,bkz. *stemming* — ikisi kolayca karıştırılır
"Text, tokens, and morphology",n-gram / bigram,n-gram ◆ / ikili n-gram,*n-gram* takes Turkish suffixes: *n-gram'lar*,*n-gram* Türkçe ek alır: *n-gram'lar*
"Text, tokens, and morphology",normalization,normalleştirme,the preprocessing ladder; cf. *L2 normalization*,ön işleme merdiveni; krş. *L2 normalizasyonu*
"Text, tokens, and morphology",stemming,gövdeleme,"not *kök bulma*, which this book reserves for lemmatization",*kök bulma* değil; kitap onu lemmatizasyona ayırıyor
"Text, tokens, and morphology",stop word,stop word ◆,"English lists do not transfer to Turkish; *etkisiz kelime* is also seen, but these words are not meaningless — which to drop depends on the task","İngilizce listeler Türkçeye taşınmıyor; *etkisiz kelime* de deniyor, ama bu sözcükler anlamsız değil — hangilerinin atılacağı göreve bağlı"
"Text, tokens, and morphology",subword,alt kelime,*alt kelime bölütlemesi* = subword tokenization,*alt kelime bölütlemesi* = subword tokenization
"Text, tokens, and morphology",token,token ◆,left as *token*; *jeton* and *birim* are not used,*token* olarak bırakılıyor: modelin okuduğu ve ürettiği parça; *jeton* ya da *birim* denmiyor
"Text, tokens, and morphology",tokenization,bölütleme ◆,*tokenizasyon* common in practice,pratikte *tokenizasyon* yaygın
"Text, tokens, and morphology",vocabulary,sözlük,also *dictionary*; disambiguate when both are in play,aynı zamanda *dictionary*; ikisi birlikte geçtiğinde ayırt edin
"Text, tokens, and morphology",Zipf's law,Zipf yasası,,
Turkish and morphology,deasciification,Türkçe karakter geri kazanımı,"restoring Turkish diacritics to text typed without them; the alternative -- stripping them everywhere -- merges *oldu* with *öldü*. Not *şapka düzeltme*, which is the circumflex (â, î, û) and a different problem","diyakritiksiz yazılmış metne Türkçe işaretleri geri koymak; alternatif — her yerde onları sıyırmak — *oldu* ile *öldü*yü birleştirir. *Şapka düzeltme* değildir: o, düzeltme imiyle (â, î, û) ilgili başka bir sorundur"
Turkish and morphology,dotted and dotless i,noktalı ve noktasız i,"Turkish has two i letters, dotted and dotless, so İ/i and I/ı are two pairs and four case forms; str.lower() maps them wrongly in both directions and emits a combining mark that splits words","Türkçede noktalı ve noktasız iki i harfi var, yani İ/i ile I/ı iki çift ve dört büyük-küçük biçimi; str.lower() eşlemeyi iki yönde de yanlış yapıyor ve kelimeleri bölen bir birleştirici işaret üretiyor"
Turkish and morphology,vowel harmony,ünlü uyumu,"the stem's vowels decide which form each suffix takes, which is why one grammatical ending has four or eight spellings",gövdenin ünlüleri her ekin hangi biçimi alacağına karar veriyor; bir dilbilgisi ekinin dört ya da sekiz yazımı olmasının nedeni bu
